ìπòHåí ,,,
,éñåÃî≠ê∂åèêî,éÄèùé“êî,éÄé“êî
è∫òa26,"41,423 ","35,703 ","4,429 "
27,"58,487 ","48,017 ","4,696 "
28,"80,019 ","64,824 ","5,544 "
29,"93,869 ","78,764 ","6,374 "
30,"93,981 ","82,880 ","6,379 "
31,"122,691 ","108,823 ","6,751 "
32,"146,833 ","132,105 ","7,575 "
33,"168,799 ","153,680 ","8,248 "
34,"201,292 ","186,030 ","10,079 "
35,"449,917 ","301,211 ","12,055 "
36,"493,693 ","321,562 ","12,865 "
37,"479,825 ","325,258 ","11,445 "
38,"531,966 ","371,390 ","12,301 "
39,"557,183 ","414,435 ","13,318 "
40,"567,286 ","438,150 ","12,484 "
41,"425,944 ","531,679 ","13,904 "
42,"521,481 ","668,995 ","13,618 "
43,"635,056 ","842,327 ","14,256 "
44,"720,880 ","983,257 ","16,257 "
45,"718,080 ","997,861 ","16,765 "
46,"700,290 ","965,967 ","16,278 "
47,"659,283 ","905,116 ","15,918 "
48,"586,713 ","804,522 ","14,574 "
49,"490,452 ","662,852 ","11,432 "
50,"472,938 ","633,259 ","10,792 "
51,"471,041 ","623,691 ","9,734 "
52,"460,649 ","602,156 ","8,945 "
53,"464,037 ","602,899 ","8,783 "
54,"471,573 ","604,748 ","8,466 "
55,"476,677 ","607,479 ","8,760 "
56,"485,578 ","616,065 ","8,719 "
57,"502,261 ","635,265 ","9,073 "
58,"526,362 ","664,342 ","9,520 "
59,"518,642 ","653,583 ","9,262 "
60,"552,788 ","690,607 ","9,261 "
61,"579,190 ","721,647 ","9,317 "
62,"590,723 ","731,526 ","9,347 "
63,"614,481 ","763,189 ","10,344 "
ïΩê¨å≥,"661,363 ","825,918 ","11,086 "
2,"643,097 ","801,522 ","11,227 "
ïΩê¨3,"662,388 ","821,350 ","11,105 "
4,"695,345 ","855,454 ","11,451 "
5,"724,675 ","889,575 ","10,942 "
6,"729,457 ","892,372 ","10,649 "
7,"761,789 ","933,356 ","10,679 "
8,"771,084 ","952,145 ","9,942 "
9,"780,399 ","968,565 ","9,640 "
10,"803,878 ","999,886 ","9,211 "
11,"850,363 ","1,059,403 ","9,006 "
12,"931,934 ","1,164,763 ","9,066 "
13,"947,169 ","1,189,702 ","8,747 "
14,"936,721 ","1,176,181 ","8,326 "
15,"947,993 ","1,189,133 ","7,702 "
16,"952,191 ","1,190,478 ","7,358 "
17,"933,828 ","1,163,504 ","6,871 "
18îN,"886,864 ","1,104,551 ","6,352 "
